school ,tot,min,dis,stw
SARANAC MIDDLE SCHOOL,327,0.03,0.33,0
EDWARD TOWN MIDDLE SCHOOL,913,0.14,0.33,0
GREENWOOD LAKE MIDDLE SCHOOL,302,0.22,0.33,0
LIVERPOOL MIDDLE SCHOOL,335,0.17,0.33,0
CHESTER ACADEMY-MIDDLE/HIGH SCHOOL,539,0.46,0.33,0
CHENANGO FORKS MIDDLE SCHOOL,392,0.06,0.33,0
NEW YORK MILLS JUNIOR-SENIOR HIGH SCHOOL,257,0.07,0.33,0
DEWITT MIDDLE SCHOOL,514,0.41,0.33,0
MADRID-WADDINGTON JUNIOR-SENIOR HIGH SCHOOL,384,0.03,0.34,0
STISSING MOUNTAIN MIDDLE SCHOOL,250,0.11,0.34,0
SELDEN MIDDLE SCHOOL,1181,0.22,0.34,0
ROYALTON-HARTLAND MIDDLE SCHOOL,468,0.08,0.34,0
VERNON-VERONA-SHERRILL MIDDLE SCHOOL,311,0.02,0.34,0
GRIFFITH INSTITUTE MIDDLE SCHOOL,462,0.07,0.34,0
CAMBRIDGE JUNIOR-SENIOR HIGH SCHOOL,421,0.04,0.34,0
SENECA FALLS MIDDLE SCHOOL,290,0.11,0.34,0
NORTH COLLINS JUNIOR-SENIOR HIGH SCHOOL,275,0.10,0.34,0
CHITTENANGO MIDDLE SCHOOL,462,0.08,0.34,0
CORNING FREE ACADEMY MIDDLE SCHOOL,528,0.11,0.34,0
NEWFANE MIDDLE SCHOOL,567,0.06,0.35,0
JORDAN-ELBRIDGE MIDDLE SCHOOL,450,0.03,0.35,0
HICKSVILLE MIDDLE SCHOOL,1204,0.53,0.35,0
MECHANICVILLE JUNIOR/SENIOR HIGH SCHOOL,702,0.05,0.35,0
DRAPER MIDDLE SCHOOL,698,0.12,0.35,0
HOLLAND PATENT MIDDLE SCHOOL,353,0.04,0.35,0
PINE GROVE MIDDLE SCHOOL,744,0.11,0.35,0
J TAYLOR FINLEY MIDDLE SCHOOL,672,0.42,0.35,0
CRISPELL MIDDLE SCHOOL,722,0.16,0.36,0
ATTICA JUNIOR HIGH SCHOOL,463,0.03,0.36,0
ROBERT MOSES MIDDLE SCHOOL,1109,0.46,0.36,0
LETCHWORTH MIDDLE SCHOOL,287,0.04,0.36,0
ARLINGTON MIDDLE SCHOOL,532,0.41,0.36,0
KENDALL JUNIOR-SENIOR HIGH SCHOOL,384,0.10,0.36,0
NORTHSIDE BLODGETT MIDDLE SCHOOL,591,0.12,0.36,0
RED JACKET MIDDLE SCHOOL,192,0.06,0.36,0
HOOSICK FALLS JUNIOR/SENIOR HIGH SCHOOL,581,0.03,0.36,0
L A WEBBER MIDDLE-HIGH SCHOOL,309,0.08,0.37,0
HAMMONDSPORT JUNIOR-SENIOR HIGH SCHOOL,256,0.07,0.37,0
PALMYRA-MACEDON MIDDLE SCHOOL,435,0.08,0.37,0
CHENANGO VALLEY MIDDLE SCHOOL,288,0.05,0.37,0
CHATHAM MIDDLE SCHOOL,291,0.10,0.37,0
RUSSELL I DOIG MIDDLE SCHOOL,333,0.08,0.37,0
CHARLES H ROTH MIDDLE SCHOOL,736,0.34,0.37,0
MIDLAKES MIDDLE SCHOOL,250,0.08,0.38,0
FALCONER MIDDLE/HIGH SCHOOL,697,0.05,0.38,0
OREGON MIDDLE SCHOOL,577,0.29,0.38,0
HERBERT HOOVER MIDDLE SCHOOL,630,0.16,0.38,0
BYRON-BERGEN JUNIOR/SENIOR HIGH SCHOOL,590,0.07,0.38,0
TUPPER LAKE MIDDLE-HIGH SCHOOL,381,0.02,0.38,0
SWEET HOME MIDDLE SCHOOL,775,0.30,0.38,0
NEW LEBANON JUNIOR-SENIOR HIGH SCHOOL,229,0.07,0.38,0
HENRY V BURGER MIDDLE SCHOOL,489,0.34,0.38,0
KENMORE MIDDLE SCHOOL,624,0.16,0.38,0
LOWVILLE MIDDLE SCHOOL,334,0.06,0.39,0
SAUQUOIT VALLEY MIDDLE SCHOOL,310,0.08,0.39,0
TONAWANDA MIDDLE/HIGH SCHOOL,948,0.07,0.39,0
RICHARD T STANK MIDDLE SCHOOL,400,0.06,0.39,0
MARION JUNIOR-SENIOR HIGH SCHOOL,388,0.07,0.39,0
J M MCKENNEY MIDDLE SCHOOL,405,0.05,0.39,0
VALLEY CENTRAL MIDDLE SCHOOL,1081,0.31,0.39,0
ROBERT FROST MIDDLE SCHOOL,999,0.47,0.40,0
ATHENA MIDDLE SCHOOL,843,0.28,0.40,0
LA FAYETTE JUNIOR-SENIOR HIGH SCHOOL,376,0.32,0.40,0
BARKER JUNIOR/SENIOR HIGH SCHOOL,446,0.11,0.40,0
JASPER-TROUPSBURG JUNIOR-SENIOR HIGH SCHOOL,277,0.01,0.40,0
ONTEORA MIDDLE SCHOOL,211,0.18,0.40,0
MIDDLE HOPE ELEMENTARY SCHOOL,123,0.33,0.40,0
HIGHLAND MIDDLE SCHOOL,437,0.23,0.40,0
SARANAC LAKE MIDDLE SCHOOL,337,0.04,0.40,0
JOHN F KENNEDY MIDDLE SCHOOL,2621,0.29,0.40,0
ONEONTA MIDDLE SCHOOL,277,0.19,0.40,0
PAVILION JUNIOR-SENIOR HIGH SCHOOL,421,0.04,0.40,0
OAKFIELD-ALABAMA MIDDLE SCHOOL HIGH SCHOOL,390,0.06,0.40,0
NORTH TONAWANDA MIDDLE SCHOOL,611,0.10,0.40,0
CUBA-RUSHFORD MIDDLE SCHOOL,210,0.09,0.40,0
SAXTON MIDDLE SCHOOL,743,0.37,0.41,0
CENTRAL SQUARE MIDDLE SCHOOL,1025,0.04,0.41,0
INDIAN RIVER MIDDLE SCHOOL,861,0.35,0.41,0
OSWEGO MIDDLE SCHOOL,607,0.08,0.41,0
BROADALBIN-PERTH MIDDLE SCHOOL,413,0.08,0.41,0
LAKE SHORE MIDDLE SCHOOL,646,0.15,0.41,0
DELAWARE ACADEMY MIDDLE SCHOOL,162,0.04,0.41,0
PERU MIDDLE SCHOOL,343,0.06,0.41,0
TACONIC HILLSJUNIOR/SENIOR HIGH SCHOOL,465,0.10,0.42,0
HENRY L STIMSON MIDDLE SCHOOL,981,0.46,0.42,0
